TIMESTAMP,FID_ID,BUS_ID,CAN_ID,DEVICE_ID,PETAL_ID,CTRL_ENABLED,DUTY_STATE,DUTY_DEFAULT_ON,DUTY_DEFAULT_OFF,N_DOTS,DOTS_X,DOTS_Y,DOTS_REL_BRIGHTNESS,NOTE
2017-01-31 20:37:23.151230,P001,0,0,-1,-1,True,0,15,0,4,[],[],[], 
2017-01-31 20:42:29.502410,P001,0,0,-1,-1,True,0,15,0,6,[],[],[], 
