# Focal surface lookup table
# Extracted from DESI-0530-v9
# 2015-12-15 JHS
# Columns:  R, Z5,  S,   N
# Units:   mm, mm, mm, deg
136.0,-1.939747,136.018731,1.244257
137.0,-1.969334,137.019168,1.254140
138.0,-1.999160,138.019613,1.264042
139.0,-2.029223,139.020065,1.273963
140.0,-2.059525,140.020524,1.283902
141.0,-2.090064,141.020990,1.293860
142.0,-2.120842,142.021464,1.303838
143.0,-2.151859,143.021944,1.313835
144.0,-2.183114,144.022433,1.323851
145.0,-2.214608,145.022929,1.333887
146.0,-2.246341,146.023432,1.343944
147.0,-2.278314,147.023943,1.354020
148.0,-2.310525,148.024462,1.364117
149.0,-2.342976,149.024988,1.374235
150.0,-2.375666,150.025522,1.384373
151.0,-2.408596,151.026064,1.394532
152.0,-2.441765,152.026614,1.404712
153.0,-2.475174,153.027172,1.414913
154.0,-2.508823,154.027738,1.425136
155.0,-2.542712,155.028312,1.435380
156.0,-2.576840,156.028894,1.445646
157.0,-2.611209,157.029485,1.455934
158.0,-2.645817,158.030083,1.466244
159.0,-2.680666,159.030690,1.476576
160.0,-2.715754,160.031306,1.486931
161.0,-2.751083,161.031930,1.497309
162.0,-2.786652,162.032562,1.507710
163.0,-2.822461,163.033203,1.518134
164.0,-2.858510,164.033853,1.528582
165.0,-2.894799,165.034511,1.539054
166.0,-2.931329,166.035178,1.549550
167.0,-2.968098,167.035854,1.560071
168.0,-3.005107,168.036538,1.570616
169.0,-3.042357,169.037232,1.581187
170.0,-3.079846,170.037934,1.591782
171.0,-3.117575,171.038646,1.602404
172.0,-3.155544,172.039366,1.613051
173.0,-3.193753,173.040096,1.623724
174.0,-3.232201,174.040835,1.634424
175.0,-3.270890,175.041583,1.645150
176.0,-3.309817,176.042340,1.655903
177.0,-3.348984,177.043107,1.666684
178.0,-3.388391,178.043883,1.677492
179.0,-3.428036,179.044669,1.688328
180.0,-3.467921,180.045464,1.699192
181.0,-3.508044,181.046269,1.710085
182.0,-3.548407,182.047083,1.721007
183.0,-3.589008,183.047907,1.731957
184.0,-3.629848,184.048740,1.742937
185.0,-3.670926,185.049584,1.753947
186.0,-3.712242,186.050437,1.764987
187.0,-3.753796,187.051300,1.776057
188.0,-3.795589,188.052173,1.787158
189.0,-3.837619,189.053056,1.798291
190.0,-3.879886,190.053948,1.809454
191.0,-3.922391,191.054851,1.820650
192.0,-3.965133,192.055764,1.831877
193.0,-4.008112,193.056688,1.843138
194.0,-4.051328,194.057621,1.854431
195.0,-4.094780,195.058564,1.865757
196.0,-4.138468,196.059518,1.877117
197.0,-4.182393,197.060483,1.888512
198.0,-4.226553,198.061457,1.899940
199.0,-4.270949,199.062442,1.911404
200.0,-4.315581,200.063438,1.922902
201.0,-4.360447,201.064444,1.934435
202.0,-4.405549,202.065460,1.946003
203.0,-4.450885,203.066487,1.957607
204.0,-4.496455,204.067525,1.969246
205.0,-4.542260,205.068574,1.980921
